Date,Station,Location,Latitude,Longitude,Weather,Cause,Accident_type,Ship_num,Total_people,Rescued_people,Injured_people,Dead_people,Missed_people,Vessel_type,Tons,Seasons,Month,Hour
2011/02/27 14:35,동해,영해,37.35222222,129.3166667,황천4급,기타,기관이상,1,8,8,0,0,0,화물선,1334,겨울,2,14
2011/02/28 7:30,속초,영해,38.12527778,128.6333333,풍랑주의보,관리소홀,좌초,1,0,0,0,0,0,어선,2.78,겨울,2,7
2011/02/28 16:00,포항,EEZ-30마일 이내,35.83333333,131.8166667,풍랑주의보,운항부주의,추진기이상,1,10,10,0,0,0,어선,79,겨울,2,16
2011/02/28 16:05,목포,영해,34.05,125.2,양호,기타,기관이상,1,5,5,0,0,0,어선,17,겨울,2,16
2011/03/01 11:44,인천,영해,37.06666667,126.05,황천4급,재질불량,키손상,1,3,3,0,0,0,어선,9.44,봄,3,11
2011/03/01 14:00,완도,영해,33.35888889,126.96,황천5급,연료고갈,기관이상,1,1,1,0,0,0,어선,3,봄,3,14
2011/03/02 5:04,동해,영해,37.2,126.4333333,양호,기타,기관이상,1,2,2,0,0,0,어선,3.89,봄,3,5
2011/03/02 6:15,통영,항계 내,35.11111111,128.6838889,양호,운항부주의,전복,1,2,0,0,2,0,어선,5.89,봄,3,6
2011/03/04 16:39,동해,영해-EEZ,37.35277778,129.6652778,양호,기타,기관이상,1,3,3,0,0,0,어선,5.75,봄,3,16
2011/03/05 0:00,부산,영해,35.13527778,129.2083333,양호,기타,기관이상,1,1,1,0,0,0,어선,4.94,봄,3,0
2011/03/05 10:05,속초,영해,38.07833333,128.6997222,양호,정비불량,기관이상,1,1,1,0,0,0,어선,1.92,봄,3,10
2011/03/05 10:30,통영,항계 내,34.71666667,128.4833333,양호,정비불량,기관이상,1,1,1,0,0,0,어선,1.86,봄,3,10
2011/03/05 14:00,통영,항계 내,35.05638889,128.6972222,양호,정비불량,기관이상,1,1,1,0,0,0,어선,3,봄,3,14
2011/03/05 15:40,군산,항계 내,35.99583333,126.7144444,양호,정비불량,침수,1,1,1,0,0,0,어선,1.98,봄,3,15
2011/03/06 11:14,속초,영해,38.21083333,128.6330556,양호,정비불량,기관이상,1,1,1,0,0,0,어선,2.17,봄,3,11
2011/03/06 16:00,인천,영해,37.31666667,125.9833333,풍랑주의보,운항부주의,추진기이상,1,3,3,0,0,0,어선,9.77,봄,3,16
2011/03/08 0:30,포항,영해-EEZ,37.03333333,134.6666667,황천4급,기타,화재,1,9,9,0,0,0,어선,89,봄,3,0
2011/03/08 8:00,서귀포,공해,28.45,125.4,양호,정비불량,기관이상,1,9,9,0,0,0,어선,29,봄,3,8
2011/03/08 10:54,목포,영해,34.08333333,125.2166667,양호,정비불량,기관이상,1,1,1,0,0,0,낚시어선,9.77,봄,3,10
2011/03/08 14:00,인천,영해,37.96861111,124.7472222,양호,재질불량,화재,1,6,4,2,0,0,어선,10,봄,3,14
2011/03/08 15:25,포항,항계 내,35.63333333,129.5,양호,기타,화재,1,1,1,0,0,0,어선,7.93,봄,3,15
2011/03/08 21:44,목포,영해,34.38638889,125.9705556,양호,기타,좌초,1,7,7,0,0,0,화물선,895,봄,3,21
2011/03/09 17:35,통영,영해,34.84111111,128.2130556,양호,정비불량,기관이상,1,1,1,0,0,0,어선,3.05,봄,3,17
