Weather,latitude,longitude,Ship_Type,Accident_Type
양호,35.40611111,129.4227778,화물선,충돌
양호,37.36388889,126.5166667,어선,기관이상
양호,37.375,126.4416667,어선,기관이상
양호,34.91277778,128.5627778,어선,기관이상
풍랑주의보,33.16666667,125.1,어선,화재
양호,34.80694444,126.3644444,어선,화재
황천5급,35.09583333,129.0466667,기타,화재
양호,37.4,126.5166667,어선,기관이상
양호,38.00722222,128.7333333,어선,충돌
저시정,33.2,127.0166667,어선,기관이상
저시정,33.2,127.0166667,어선,기관이상
양호,37.09,126.5916667,기타,기관이상
황천5급,33.36666667,125.9666667,어선,기관이상
양호,36.80833333,126.1383333,어선,기관이상
양호,34.995,128.9933333,요트,기관이상
양호,37.51666667,126.6,어선,기관이상
양호,37.18333333,126.3166667,어선,기관이상
양호,34.66916667,125.8025,어선,충돌
양호,37.15,126.4333333,어선,기관이상
양호,34.18333333,127.8833333,어선,기관이상
황천5급,35.07555556,129.025,기타,전복
양호,37.34305556,126.2875,어선,기관이상
양호,37.46305556,126.1647222,어선,기관이상
양호,37.01027778,126.7494444,기타,기관이상
양호,37.115,126.5469444,어선,운항저해
양호,34.69333333,128.39,어선,기관이상
양호,36.3,126.4666667,어선,운항저해
양호,37.96416667,128.8761111,어선,기관이상
양호,34.60805556,127.0763889,어선,침수
양호,34.72361111,126.2697222,여객선,기관이상
저시정,34.95083333,128.8516667,화물선,충돌
양호,35.5,129.45,어선,기관이상
양호,37.43805556,129.1919444,어선,침수
저시정,34.565,127.7313889,어선,운항저해
양호,37.78888889,126.2861111,어선,기관이상
양호,34.13333333,128.4,어선,기관이상
양호,34.78527778,126.355,어선,침수
양호,34.61666667,128.4166667,어선,기관이상
저시정,36.30972222,126.4063889,어선,전복
저시정,36.21138889,126.4266667,모터보트,기관이상
양호,34.93055556,128.0716667,어선,기관이상
양호,37.09277778,126.4941667,어선,기관이상
양호,37.16694444,126.6063889,모터보트,운항저해
양호,35.55055556,129.4686111,어선,기관이상
양호,37.25666667,126.33,어선,기관이상
양호,34.90361111,128.9702778,기타,기관이상
저시정,36.11666667,126.35,어선,충돌
양호,37.40888889,129.4255556,어선,기관이상
양호,35.40055556,129.4172222,기타,충돌
양호,34.6575,128.2527778,어선,기관이상
양호,37.35472222,126.5113889,어선,기관이상
양호,34.46666667,125.5833333,어선,기관이상
양호,36.77611111,126.1258333,모터보트,기관이상
양호,36.26666667,129.5666667,어선,기관이상
양호,34.52916667,127.1277778,어선,충돌
양호,32.95,127.3333333,어선,기관이상
양호,34.7,125.4333333,예부선,운항저해
양호,35.26944444,129.2833333,요트,기관이상
양호,33.6,126.3333333,어선,기관이상
양호,35.52638889,129.4586111,어선,침수
양호,34.50916667,127.4141667,어선,기관이상
양호,34.90694444,127.7388889,예부선,화재
양호,35.72333333,126.5294444,기타,기관이상
양호,34.57222222,127.6930556,어선,기관이상
양호,37.20444444,126.5772222,모터보트,운항저해
양호,37.0825,126.5619444,모터보트,기관이상
양호,37.4,126.45,어선,기관이상
양호,34.97333333,128.0327778,어선,기관이상
저시정,36.91666667,126.0833333,어선,기관이상
저시정,36.91388889,126.2433333,예부선,침수
양호,35.95,126.5,어선,침수
양호,33.96666667,125.2666667,어선,기관이상
양호,36.68138889,129.4561111,어선,침수
양호,34.92305556,128.0305556,어선,운항저해
양호,37.29722222,126.4166667,모터보트,기관이상
양호,37.75,129.75,어선,기관이상
양호,35.22694444,129.2563889,어선,침수
양호,36.925,126.2294444,모터보트,기관이상
양호,34.67888889,128.5827778,어선,침수
양호,35.91055556,126.4069444,어선,기관이상
양호,37.4,126.1833333,모터보트,기관이상
저시정,36.61666667,125.55,어선,운항저해
양호,34.95111111,127.7097222,어선,운항저해
저시정,36.41666667,126.1,어선,충돌
양호,36.63333333,129.7833333,어선,화재
양호,37.38333333,126.55,어선,기관이상
양호,35.0125,128.5277778,어선,기관이상
양호,34.945,129.3158333,어선,기관이상
양호,35.81666667,126.3166667,어선,침수
양호,36.18333333,126.4333333,어선,기관이상
양호,37.55638889,129.1322222,모터보트,기관이상
양호,34.26666667,127.3583333,어선,기관이상
양호,37.365,129.2922222,어선,침수
양호,37.3,126.4,기타,기관이상
양호,35.08333333,126.0055556,어선,전복
저시정,36.63333333,124.8833333,어선,기관이상
양호,37.33333333,126.2666667,어선,기관이상
양호,35.63333333,129.25,어선,화재
양호,34.40055556,126.1097222,기타,기관이상
양호,37.50555556,129.2694444,어선,침수
양호,35.50722222,129.3877778,기타,충돌
양호,35.84083333,126.4891667,어선,전복
저시정,36.95,125.5666667,어선,전복
양호,37.81666667,124.7305556,어선,충돌
양호,36.17527778,126.2713889,화물선,충돌
양호,35.01722222,128.7519444,어선,충돌
저시정,36.95,125.5666667,어선,전복
양호,34.7,128.6344444,예부선,기관이상
저시정,36.18333333,126.35,어선,충돌
양호,33.16666667,127.2666667,어선,기관이상
황천4급,36.61666667,130.7333333,어선,기관이상
양호,34.45,128.9333333,어선,기관이상
황천5급,34.45,128.9333333,어선,기관이상
저시정,35.42,129.4455556,화물선,충돌
황천5급,34.2,127.5138889,화물선,충돌
풍랑주의보,35.44444444,126.4080556,어선,기관이상
풍랑주의보,36.01666667,126.6833333,어선,전복
양호,34.2025,128.5808333,어선,충돌
황천4급,35.13333333,126.1166667,기타,기관이상
황천5급,33.51666667,127.0583333,어선,기관이상
태풍경보,36.08333333,126.4333333,어선,전복
황천4급,34.66666667,126.1166667,기타,기관이상
양호,35.41666667,130.4638889,어선,기관이상
양호,35.35,129.3333333,어선,운항저해
양호,34.83444444,128.4086111,어선,침수
양호,35.08638889,128.9138889,요트,기관이상
저시정,34.72833333,127.7958333,어선,침수
양호,38.19916667,128.5838889,어선,화재
양호,34.83833333,128.4547222,어선,기관이상
양호,34.88,128.1741667,어선,기관이상
저시정,36.96666667,126.8166667,어선,기관이상
양호,35.33333333,125.95,예부선,충돌
양호,37.05277778,129.4208333,예부선,충돌
양호,34.76361111,128.5391667,어선,기관이상
양호,35.15972222,129.1472222,기타,기관이상
저시정,37.03222222,125.9911111,화물선,운항저해
저시정,33.26944444,126.6805556,어선,운항저해
양호,34.96222222,128.4961111,어선,기관이상
저시정,32.82111111,126.7830556,어선,기관이상
양호,38.01444444,128.735,어선,충돌
양호,37.05472222,129.4194444,어선,충돌
양호,36.65222222,126.1138889,어선,충돌
양호,30.28333333,125.0833333,어선,기관이상
양호,33.25555556,126.3613889,기타,운항저해
양호,32.68333333,126.4666667,어선,충돌
양호,36.26777778,126.3472222,모터보트,기관이상
양호,34.83805556,128.4169444,어선,충돌
양호,37.03805556,126.1016667,어선,기관이상
양호,33.33333333,126.2,어선,화재
양호,36.86666667,129.8166667,어선,기관이상
황천5급,33.15277778,126.7688889,어선,기관이상
저시정,36.83333333,126.0166667,어선,기관이상
황천5급,29.83333333,124.8333333,어선,기관이상
양호,34.94666667,127.8858333,어선,침수
저시정,35.9,125.2,화물선,충돌
양호,37.31805556,129.3555556,어선,기관이상
저시정,36.77,125.975,어선,기관이상
양호,34.555,128.0197222,어선,기관이상
양호,33.08611111,126.4213889,어선,기관이상
양호,37.2875,129.3152778,어선,침수
양호,35.34722222,129.8083333,어선,기관이상
저시정,36.34833333,126.4788889,모터보트,기관이상
양호,33.53333333,126.5666667,어선,기관이상
양호,33.6175,126.45,어선,기관이상
양호,32.9425,127.5391667,화물선,기관이상
양호,37.05833333,129.4302778,어선,운항저해
양호,34.84638889,128.4711111,어선,기관이상
양호,38.06666667,129.1833333,어선,기관이상
양호,34.71777778,127.7447222,어선,침수
양호,37.88333333,129.45,어선,기관이상
양호,33.91666667,126.15,어선,기관이상
양호,34.33333333,126.4,어선,운항저해
양호,36.65,126.0666667,어선,충돌
양호,34.65,126.2333333,어선,기관이상
양호,33.55833333,126.6333333,어선,운항저해
저시정,35.99222222,129.5772222,어선,운항저해
양호,33.18333333,127.1,어선,기관이상
양호,34.89138889,128.1133333,어선,침수
양호,38.17388889,128.6061111,어선,침수
양호,34.68888889,125.4555556,기타,운항저해
양호,36.44305556,125.4216667,어선,기관이상
양호,37.25,129.5,어선,기관이상
양호,36.18333333,129.4,어선,기관이상
양호,34.86666667,126.15,어선,기관이상
양호,33.24583333,126.6791667,기타,침수
양호,37.28833333,126.4166667,모터보트,기관이상
양호,37.30694444,129.3138889,어선,기관이상
양호,34.6,128.3166667,어선,기관이상
양호,29.83333333,124.6666667,어선,기관이상
양호,37.45,126.6,화물선,기관이상
양호,36.8125,126.1416667,어선,운항저해
양호,37.46666667,126.6,기타,침수
양호,37.83388889,128.8722222,어선,침수
양호,29.78333333,124.85,어선,기관이상
양호,37.15083333,126.3830556,모터보트,기관이상
양호,37.53333333,126.5833333,어선,기관이상
풍랑주의보,38.14166667,128.6138889,모터보트,침수
양호,34.15,126.0166667,어선,기관이상
황천5급,34.98805556,129.8336111,어선,기관이상
양호,37.2,126.4666667,기타,기관이상
양호,35.38333333,126.35,어선,기관이상
양호,35.1,125.9166667,어선,기관이상
양호,34.01666667,125.7666667,어선,기관이상
양호,35.96666667,124.3833333,어선,기관이상
양호,35.63333333,126.05,어선,전복
양호,34.5,125.4166667,어선,기관이상
양호,36,125.4,어선,화재
양호,37.41444444,126.53,어선,기관이상
양호,37.43361111,129.2355556,화물선,기관이상
양호,34.86472222,127.7655556,기타,침수
양호,35.56083333,129.4583333,어선,전복
